STATE/UT,Year,TYPE OF JAIL,"Number of Central Jails",Total Capacity of male Inmates,Total Capacity of female Inmates,Total Capacity of Inmates,Male Inmate population,Female Inmate population,Total Inmate population
ORISSA,2002,DISTRICT JAIL,13,3842,165,4007,5963,143,6106
ORISSA,2002,SUB JAIL,51,2593,277,2870,4802,157,4959
ORISSA,2002,WOMEN JAIL,1,0,55,55,0,14,14
ORISSA,2002,BORSTAL SCHOOL,1,91,6,97,228,0,228
ORISSA,2002,OPEN JAIL,0,0,0,0,0,0,0
ORISSA,2002,SPECIAL JAIL,2,483,30,513,1303,27,1330
ORISSA,2002,OTHERS,0,0,0,0,0,0,0
ORISSA,2002,TOTAL,68,7009,533,7542,12296,341,12637
ORISSA,2003,CENTRAL JAIL,0,0,0,0,0,0,0
ORISSA,2003,DISTRICT JAIL,13,3842,165,4007,6176,154,6330
ORISSA,2003,SUB JAIL,51,2593,277,2870,5005,153,5158
ORISSA,2003,WOMEN JAIL,1,0,55,55,0,20,20
ORISSA,2003,BORSTAL SCHOOL,1,91,6,97,225,0,225
ORISSA,2003,OPEN JAIL,0,0,0,0,0,0,0
ORISSA,2003,SPECIAL JAIL,2,483,30,513,1205,29,1234
ORISSA,2003,OTHERS,0,0,0,0,0,0,0
ORISSA,2003,TOTAL,68,7009,533,7542,12611,356,12967
ORISSA,2004,CENTRAL JAIL,0,0,0,0,0,0,0
ORISSA,2004,DISTRICT JAIL,13,4072,164,4236,6380,157,6537
ORISSA,2004,SUB JAIL,52,2707,298,3005,4992,159,5151
ORISSA,2004,WOMEN JAIL,1,0,55,55,0,14,14
ORISSA,2004,BORSTAL SCHOOL,1,91,6,97,237,0,237
ORISSA,2004,OPEN JAIL,1,100,0,100,50,0,50
ORISSA,2004,SPECIAL JAIL,2,483,30,513,1138,31,1169
ORISSA,2004,OTHERS,0,0,0,0,0,0,0
ORISSA,2004,TOTAL,70,7453,553,8006,12797,361,13158
ORISSA,2005,CENTRAL JAIL,0,0,0,0,0,0,0
ORISSA,2005,DISTRICT JAIL,13,4396,171,4567,6706,158,6864
ORISSA,2005,SUB JAIL,52,2947,328,3275,5254,223,5477
ORISSA,2005,WOMEN JAIL,1,0,55,55,0,28,28
ORISSA,2005,BORSTAL SCHOOL,1,91,6,97,307,0,307
ORISSA,2005,OPEN JAIL,1,100,0,100,39,0,39
ORISSA,2005,SPECIAL JAIL,2,1043,30,1073,1222,21,1243
ORISSA,2005,OTHERS,0,0,0,0,0,0,0
ORISSA,2005,TOTAL,70,8577,590,9167,13528,430,13958
ORISSA,2006,CENTRAL JAIL,0,0,0,0,0,0,0
ORISSA,2006,DISTRICT JAIL,13,4266,164,4430,6997,193,7190
ORISSA,2006,SUB JAIL,52,3037,333,3370,5596,231,5827
ORISSA,2006,WOMEN JAIL,1,0,55,55,0,21,21
ORISSA,2006,BORSTAL SCHOOL,0,0,0,0,0,0,0
ORISSA,2006,OPEN JAIL,1,100,0,100,68,0,68
ORISSA,2006,SPECIAL JAIL,2,1043,30,1073,1248,33,1281
ORISSA,2006,OTHERS,1,91,6,97,257,0,257
ORISSA,2006,TOTAL,70,8537,588,9125,14166,478,14644
ORISSA,2007,CENTRAL JAIL,0,0,0,0,0,0,0
ORISSA,2007,DISTRICT JAIL,13,5311,164,5475,7262,270,7532
ORISSA,2007,SUB JAIL,52,3466,337,3803,5837,288,6125
ORISSA,2007,WOMEN JAIL,1,0,55,55,0,28,28
ORISSA,2007,BORSTAL SCHOOL,0,0,0,0,0,0,0
ORISSA,2007,OPEN JAIL,1,100,0,100,59,0,59
ORISSA,2007,SPECIAL JAIL,2,1043,30,1073,1306,34,1340
ORISSA,2007,OTHERS,1,91,6,97,284,0,284
ORISSA,2007,TOTAL,70,10011,592,10603,14748,620,15368
ORISSA,2008,CENTRAL JAIL,0,0,0,0,0,0,0
ORISSA,2008,DISTRICT JAIL,13,5593,166,5759,6692,198,6890
ORISSA,2008,SUB JAIL,59,5646,569,6215,5552,247,5799
ORISSA,2008,WOMEN JAIL,1,0,55,55,0,28,28
ORISSA,2008,BORSTAL SCHOOL,0,0,0,0,0,0,0
ORISSA,2008,OPEN JAIL,1,100,0,100,102,0,102
ORISSA,2008,SPECIAL JAIL,2,1043,30,1073,1194,41,1235
ORISSA,2008,OTHERS,1,91,6,97,310,9,319
ORISSA,2008,TOTAL,77,12473,826,13299,13850,523,14373
ORISSA,2009,CENTRAL JAIL,4,2666,67,2733,2377,88,2465
ORISSA,2009,DISTRICT JAIL,9,3127,109,3236,3464,116,3580
ORISSA,2009,SUB JAIL,62,6573,887,7460,5671,223,5894
ORISSA,2009,WOMEN JAIL,1,0,55,55,0,19,19
ORISSA,2009,BORSTAL SCHOOL,0,0,0,0,0,0,0
ORISSA,2009,OPEN JAIL,1,150,0,150,98,0,98
ORISSA,2009,SPECIAL JAIL,2,1043,30,1073,1113,46,1159
ORISSA,2009,OTHERS,1,211,6,217,312,7,319
ORISSA,2009,TOTAL,80,13770,1154,14924,13035,499,13534
ORISSA,2010,CENTRAL JAIL,4,2666,67,2733,2115,60,2175
ORISSA,2010,DISTRICT JAIL,10,3394,115,3509,3508,126,3634
ORISSA,2010,SUB JAIL,66,7854,926,8780,5231,244,5475
ORISSA,2010,WOMEN JAIL,1,0,55,55,0,21,21
ORISSA,2010,BORSTAL SCHOOL,0,0,0,0,0,0,0
ORISSA,2010,OPEN JAIL,1,150,0,150,112,0,112
ORISSA,2010,SPECIAL JAIL,2,1373,239,1612,973,39,1012
ORISSA,2010,OTHERS,0,0,0,0,0,0,0
ORISSA,2010,TOTAL,84,15437,1402,16839,11939,490,12429
ORISSA,2011,CENTRAL JAIL,4,2666,67,2733,2163,76,2239
ORISSA,2011,DISTRICT JAIL,10,3397,122,3519,3237,104,3341
ORISSA,2011,SUB JAIL,66,10318,1555,11873,5884,203,6087
ORISSA,2011,WOMEN JAIL,1,0,55,55,0,22,22
ORISSA,2011,BORSTAL SCHOOL,0,0,0,0,0,0,0
ORISSA,2011,OPEN JAIL,1,150,0,150,65,0,65
ORISSA,2011,SPECIAL JAIL,2,1343,30,1373,961,38,999
ORISSA,2011,OTHERS,0,0,0,0,0,0,0
ORISSA,2011,TOTAL,84,17874,1829,19703,12310,443,12753
ORISSA,2012,CENTRAL JAIL,5,3010,109,3119,2686,92,2778
ORISSA,2012,DISTRICT JAIL,9,2728,165,2893,2803,84,2887
ORISSA,2012,SUB JAIL,67,8996,1276,10272,5782,244,6026
ORISSA,2012,WOMEN JAIL,1,0,52,52,0,19,19
ORISSA,2012,BORSTAL SCHOOL,0,0,0,0,0,0,0
ORISSA,2012,OPEN JAIL,1,125,0,125,100,0,100
ORISSA,2012,SPECIAL JAIL,2,1512,39,1551,1020,37,1057
ORISSA,2012,OTHERS,0,0,0,0,0,0,0
ORISSA,2012,TOTAL,85,16371,1641,18012,12391,476,12867
PUNJAB,2001,CENTRAL JAIL,7,6587,149,6736,8885,334,9219
PUNJAB,2001,DISTRICT JAIL,4,1112,18,1130,1307,84,1391
PUNJAB,2001,SUB JAIL,10,776,0,776,808,0,808
PUNJAB,2001,WOMEN JAIL,1,0,150,150,0,210,210
PUNJAB,2001,BORSTAL SCHOOL,1,300,0,300,327,0,327
PUNJAB,2001,OPEN JAIL,2,200,0,200,22,0,22
PUNJAB,2001,SPECIAL JAIL,1,562,0,562,77,0,77
PUNJAB,2001,OTHERS,0,0,0,0,0,0,0
PUNJAB,2001,TOTAL,26,9537,317,9854,11426,628,12054
PUNJAB,2002,CENTRAL JAIL,7,6587,149,6736,8409,355,8764
PUNJAB,2002,DISTRICT JAIL,5,1674,18,1692,1715,126,1841
PUNJAB,2002,SUB JAIL,10,776,0,776,902,0,902
PUNJAB,2002,WOMEN JAIL,1,0,150,150,0,249,249
PUNJAB,2002,BORSTAL SCHOOL,1,300,0,300,328,0,328
PUNJAB,2002,OPEN JAIL,2,200,0,200,25,0,25
PUNJAB,2002,SPECIAL JAIL,0,0,0,0,0,0,0
PUNJAB,2002,OTHERS,0,0,0,0,0,0,0
PUNJAB,2002,TOTAL,26,9537,317,9854,11379,730,12109
PUNJAB,2003,CENTRAL JAIL,7,6587,149,6736,9488,405,9893
PUNJAB,2003,DISTRICT JAIL,5,1112,18,1130,1935,131,2066
PUNJAB,2003,SUB JAIL,10,776,0,776,615,0,615
PUNJAB,2003,WOMEN JAIL,1,0,150,150,0,266,266
PUNJAB,2003,BORSTAL SCHOOL,1,300,0,300,359,0,359
PUNJAB,2003,OPEN JAIL,2,200,0,200,33,0,33
PUNJAB,2003,SPECIAL JAIL,0,0,0,0,0,0,0
PUNJAB,2003,OTHERS,0,0,0,0,0,0,0
PUNJAB,2003,TOTAL,26,8975,317,9292,12430,802,13232
PUNJAB,2004,CENTRAL JAIL,7,7484,252,7736,10733,356,11089
PUNJAB,2004,DISTRICT JAIL,5,1674,18,1692,2177,137,2314
PUNJAB,2004,SUB JAIL,11,676,0,676,933,0,933
PUNJAB,2004,WOMEN JAIL,1,0,150,150,0,282,282
PUNJAB,2004,BORSTAL SCHOOL,1,300,0,300,419,0,419
PUNJAB,2004,OPEN JAIL,1,200,0,200,27,0,27
PUNJAB,2004,SPECIAL JAIL,0,0,0,0,0,0,0
PUNJAB,2004,OTHERS,0,0,0,0,0,0,0
PUNJAB,2004,TOTAL,26,10334,420,10754,14289,775,15064
PUNJAB,2005,CENTRAL JAIL,7,7984,252,8236,10411,424,10835
PUNJAB,2005,DISTRICT JAIL,5,1694,18,1712,2011,128,2139
PUNJAB,2005,SUB JAIL,11,676,0,676,1149,0,1149
PUNJAB,2005,WOMEN JAIL,1,0,150,150,0,228,228
PUNJAB,2005,BORSTAL SCHOOL,1,300,0,300,285,0,285
PUNJAB,2005,OPEN JAIL,1,200,0,200,42,0,42
PUNJAB,2005,SPECIAL JAIL,0,0,0,0,0,0,0
PUNJAB,2005,OTHERS,0,0,0,0,0,0,0
PUNJAB,2005,TOTAL,26,10854,420,11274,13898,780,14678
PUNJAB,2006,CENTRAL JAIL,7,7984,252,8236,10440,462,10902
PUNJAB,2006,DISTRICT JAIL,5,1694,18,1712,2320,108,2428
PUNJAB,2006,SUB JAIL,11,676,0,676,1300,0,1300
PUNJAB,2006,WOMEN JAIL,1,0,150,150,0,206,206
PUNJAB,2006,BORSTAL SCHOOL,1,300,0,300,250,0,250
PUNJAB,2006,OPEN JAIL,1,200,0,200,29,0,29
PUNJAB,2006,SPECIAL JAIL,0,0,0,0,0,0,0
PUNJAB,2006,OTHERS,0,0,0,0,0,0,0
PUNJAB,2006,TOTAL,26,10854,420,11274,14339,776,15115
PUNJAB,2007,CENTRAL JAIL,7,7795,478,8273,10733,512,11245
PUNJAB,2007,DISTRICT JAIL,5,1844,90,1934,2601,109,2710
PUNJAB,2007,SUB JAIL,11,676,0,676,1433,0,1433
PUNJAB,2007,WOMEN JAIL,1,0,320,320,0,214,214
PUNJAB,2007,BORSTAL SCHOOL,1,489,0,489,315,0,315
PUNJAB,2007,OPEN JAIL,1,50,0,50,55,0,55
PUNJAB,2007,SPECIAL JAIL,0,0,0,0,0,0,0
PUNJAB,2007,OTHERS,0,0,0,0,0,0,0
PUNJAB,2007,TOTAL,26,10854,888,11742,15137,835,15972
PUNJAB,2008,CENTRAL JAIL,7,7884,453,8337,10782,468,11250
PUNJAB,2008,DISTRICT JAIL,5,1654,136,1790,2620,150,2770
PUNJAB,2008,SUB JAIL,11,896,15,911,1387,0,1387
PUNJAB,2008,WOMEN JAIL,1,0,320,320,0,204,204
PUNJAB,2008,BORSTAL SCHOOL,1,489,0,489,445,0,445
PUNJAB,2008,OPEN JAIL,1,50,0,50,59,0,59
PUNJAB,2008,SPECIAL JAIL,0,0,0,0,0,0,0
PUNJAB,2008,OTHERS,0,0,0,0,0,0,0
PUNJAB,2008,TOTAL,26,10973,924,11897,15293,822,16115
PUNJAB,2009,CENTRAL JAIL,7,8112,502,8614,12106,561,12667
PUNJAB,2009,DISTRICT JAIL,6,1919,96,2015,3060,192,3252
PUNJAB,2009,SUB JAIL,10,647,0,647,1155,0,1155
PUNJAB,2009,WOMEN JAIL,1,0,150,150,0,228,228
PUNJAB,2009,BORSTAL SCHOOL,1,500,0,500,490,0,490
PUNJAB,2009,OPEN JAIL,1,50,0,50,62,0,62
PUNJAB,2009,SPECIAL JAIL,0,0,0,0,0,0,0
PUNJAB,2009,OTHERS,0,0,0,0,0,0,0
PUNJAB,2009,TOTAL,26,11228,748,11976,16873,981,17854
PUNJAB,2010,CENTRAL JAIL,7,8112,502,8614,11965,663,12628
PUNJAB,2010,DISTRICT JAIL,6,1919,96,2015,3051,162,3213
PUNJAB,2010,SUB JAIL,10,622,0,622,1156,0,1156
PUNJAB,2010,WOMEN JAIL,1,0,150,150,0,193,193
PUNJAB,2010,BORSTAL SCHOOL,1,500,0,500,396,0,396
PUNJAB,2010,OPEN JAIL,1,50,0,50,58,0,58
PUNJAB,2010,SPECIAL JAIL,0,0,0,0,0,0,0
PUNJAB,2010,OTHERS,0,0,0,0,0,0,0
PUNJAB,2010,TOTAL,26,11203,748,11951,16626,1018,17644
PUNJAB,2011,CENTRAL JAIL,7,8112,502,8614,11888,616,12504
PUNJAB,2011,DISTRICT JAIL,6,1919,96,2015,3291,179,3470
PUNJAB,2011,SUB JAIL,10,622,0,622,1109,0,1109
PUNJAB,2011,WOMEN JAIL,1,0,150,150,0,242,242
PUNJAB,2011,BORSTAL SCHOOL,1,500,0,500,456,0,456
PUNJAB,2011,OPEN JAIL,1,50,0,50,40,0,40
PUNJAB,2011,SPECIAL JAIL,0,0,0,0,0,0,0
PUNJAB,2011,OTHERS,0,0,0,0,0,0,0
PUNJAB,2011,TOTAL,26,11203,748,11951,16784,1037,17821
PUNJAB,2012,CENTRAL JAIL,8,11510,1065,12575,16209,762,16971
PUNJAB,2012,DISTRICT JAIL,6,2630,243,2873,3849,291,4140
PUNJAB,2012,SUB JAIL,9,1092,0,1092,1429,0,1429
PUNJAB,2012,WOMEN JAIL,1,0,320,320,0,222,222
PUNJAB,2012,BORSTAL SCHOOL,1,500,0,500,395,0,395
PUNJAB,2012,OPEN JAIL,1,50,0,50,62,0,62
PUNJAB,2012,SPECIAL JAIL,0,0,0,0,0,0,0
PUNJAB,2012,OTHERS,0,0,0,0,0,0,0
PUNJAB,2012,TOTAL,26,15782,1628,17410,21944,1275,23219
RAJASTHAN,2001,CENTRAL JAIL,7,6585,175,6760,6202,92,6294
RAJASTHAN,2001,DISTRICT JAIL,26,4751,223,4974,3931,107,4038
RAJASTHAN,2001,SUB JAIL,58,3032,281,3313,2161,27,2188
RAJASTHAN,2001,WOMEN JAIL,1,0,200,200,0,138,138
RAJASTHAN,2001,BORSTAL SCHOOL,1,90,0,90,33,0,33
RAJASTHAN,2001,OPEN JAIL,7,370,0,370,297,7,304
RAJASTHAN,2001,SPECIAL JAIL,0,0,0,0,0,0,0
RAJASTHAN,2001,OTHERS,0,0,0,0,0,0,0
RAJASTHAN,2001,TOTAL,100,14828,879,15707,12624,371,12995
RAJASTHAN,2002,CENTRAL JAIL,7,6585,175,6760,6047,56,6103
RAJASTHAN,2002,DISTRICT JAIL,26,4751,223,4974,3603,110,3713
RAJASTHAN,2002,SUB JAIL,58,3032,281,3313,1965,20,1985
RAJASTHAN,2002,WOMEN JAIL,1,0,200,200,0,196,196
RAJASTHAN,2002,BORSTAL SCHOOL,1,90,0,90,46,0,46
RAJASTHAN,2002,OPEN JAIL,7,370,0,370,332,11,343
RAJASTHAN,2002,SPECIAL JAIL,0,0,0,0,0,0,0
RAJASTHAN,2002,OTHERS,0,0,0,0,0,0,0
RAJASTHAN,2002,TOTAL,100,14828,879,15707,11993,393,12386
RAJASTHAN,2003,CENTRAL JAIL,8,7020,190,7210,7333,86,7419
RAJASTHAN,2003,DISTRICT JAIL,25,4316,208,4524,2748,79,2827
RAJASTHAN,2003,SUB JAIL,58,3032,281,3313,1874,21,1895
RAJASTHAN,2003,WOMEN JAIL,1,0,200,200,0,213,213
RAJASTHAN,2003,BORSTAL SCHOOL,1,90,0,90,39,0,39
RAJASTHAN,2003,OPEN JAIL,7,370,0,370,291,11,302
RAJASTHAN,2003,SPECIAL JAIL,0,0,0,0,0,0,0
RAJASTHAN,2003,OTHERS,0,0,0,0,0,0,0
RAJASTHAN,2003,TOTAL,100,14828,879,15707,12285,410,12695
RAJASTHAN,2004,CENTRAL JAIL,8,7020,190,7210,7439,93,7532
RAJASTHAN,2004,DISTRICT JAIL,25,4316,208,4524,2879,93,2972
RAJASTHAN,2004,SUB JAIL,58,3032,281,3313,2008,18,2026
RAJASTHAN,2004,WOMEN JAIL,1,0,200,200,0,215,215
RAJASTHAN,2004,BORSTAL SCHOOL,1,90,0,90,20,0,20
RAJASTHAN,2004,OPEN JAIL,9,441,0,441,391,15,406
RAJASTHAN,2004,SPECIAL JAIL,0,0,0,0,0,0,0
RAJASTHAN,2004,OTHERS,0,0,0,0,0,0,0
RAJASTHAN,2004,TOTAL,102,14899,879,15778,12737,434,13171
RAJASTHAN,2005,CENTRAL JAIL,8,7020,190,7210,6931,119,7050
RAJASTHAN,2005,DISTRICT JAIL,25,4316,208,4524,3305,81,3386
RAJASTHAN,2005,SUB JAIL,59,3082,281,3363,1901,9,1910
RAJASTHAN,2005,WOMEN JAIL,1,0,200,200,0,205,205
RAJASTHAN,2005,BORSTAL SCHOOL,1,90,0,90,32,0,32
RAJASTHAN,2005,OPEN JAIL,10,456,0,456,396,14,410
RAJASTHAN,2005,SPECIAL JAIL,0,0,0,0,0,0,0
RAJASTHAN,2005,OTHERS,0,0,0,0,0,0,0
RAJASTHAN,2005,TOTAL,104,14964,879,15843,12565,428,12993
RAJASTHAN,2006,CENTRAL JAIL,8,7927,191,8118,7556,97,7653
RAJASTHAN,2006,DISTRICT JAIL,25,4706,223,4929,3368,134,3502
RAJASTHAN,2006,SUB JAIL,59,3330,281,3611,2176,10,2186
RAJASTHAN,2006,WOMEN JAIL,2,0,350,350,0,215,215
RAJASTHAN,2006,BORSTAL SCHOOL,1,90,0,90,16,0,16
RAJASTHAN,2006,OPEN JAIL,10,456,0,456,396,15,411
RAJASTHAN,2006,SPECIAL JAIL,0,0,0,0,0,0,0
RAJASTHAN,2006,OTHERS,0,0,0,0,0,0,0
RAJASTHAN,2006,TOTAL,105,16509,1045,17554,13512,471,13983
RAJASTHAN,2007,CENTRAL JAIL,8,7927,191,8118,7901,120,8021
RAJASTHAN,2007,DISTRICT JAIL,25,4706,223,4929,3568,131,3699
RAJASTHAN,2007,SUB JAIL,59,3330,281,3611,2255,26,2281
RAJASTHAN,2007,WOMEN JAIL,2,0,350,350,0,242,242
RAJASTHAN,2007,BORSTAL SCHOOL,1,90,0,90,13,0,13
RAJASTHAN,2007,OPEN JAIL,10,456,0,456,416,15,431
RAJASTHAN,2007,SPECIAL JAIL,0,0,0,0,0,0,0
RAJASTHAN,2007,OTHERS,0,0,0,0,0,0,0
RAJASTHAN,2007,TOTAL,105,16509,1045,17554,14153,534,14687
RAJASTHAN,2008,CENTRAL JAIL,8,7927,191,8118,8046,92,8138
RAJASTHAN,2008,DISTRICT JAIL,25,4706,223,4929,4093,152,4245
RAJASTHAN,2008,SUB JAIL,59,3330,281,3611,2337,26,2363
RAJASTHAN,2008,WOMEN JAIL,2,0,350,350,0,259,259
RAJASTHAN,2008,BORSTAL SCHOOL,1,90,0,90,13,0,13
RAJASTHAN,2008,OPEN JAIL,13,529,0,529,484,18,502
RAJASTHAN,2008,SPECIAL JAIL,0,0,0,0,0,0,0
RAJASTHAN,2008,OTHERS,0,0,0,0,0,0,0
RAJASTHAN,2008,TOTAL,108,16582,1045,17627,14973,547,15520
RAJASTHAN,2009,CENTRAL JAIL,8,7927,191,8118,9081,148,9229
RAJASTHAN,2009,DISTRICT JAIL,25,4706,223,4929,5011,153,5164
RAJASTHAN,2009,SUB JAIL,59,3330,281,3611,2680,28,2708
RAJASTHAN,2009,WOMEN JAIL,2,0,350,350,0,312,312
RAJASTHAN,2009,BORSTAL SCHOOL,1,90,0,90,13,0,13
RAJASTHAN,2009,OPEN JAIL,13,529,0,529,491,15,506
RAJASTHAN,2009,SPECIAL JAIL,0,0,0,0,0,0,0
RAJASTHAN,2009,OTHERS,0,0,0,0,0,0,0
RAJASTHAN,2009,TOTAL,108,16582,1045,17627,17276,656,17932
RAJASTHAN,2010,CENTRAL JAIL,8,7927,191,8118,8647,120,8767
RAJASTHAN,2010,DISTRICT JAIL,25,4706,223,4929,4754,163,4917
RAJASTHAN,2010,SUB JAIL,59,3399,281,3680,2686,22,2708
RAJASTHAN,2010,WOMEN JAIL,2,0,350,350,0,287,287
RAJASTHAN,2010,BORSTAL SCHOOL,1,90,0,90,10,0,10
RAJASTHAN,2010,OPEN JAIL,23,629,0,629,490,15,505
RAJASTHAN,2010,SPECIAL JAIL,0,0,0,0,0,0,0
RAJASTHAN,2010,OTHERS,0,0,0,0,0,0,0
RAJASTHAN,2010,TOTAL,118,16751,1045,17796,16587,607,17194
RAJASTHAN,2011,CENTRAL JAIL,8,7927,191,8118,9028,147,9175
RAJASTHAN,2011,DISTRICT JAIL,25,4706,223,4929,5073,157,5230
RAJASTHAN,2011,SUB JAIL,60,3599,301,3900,2801,10,2811
RAJASTHAN,2011,WOMEN JAIL,2,0,350,350,0,322,322
RAJASTHAN,2011,BORSTAL SCHOOL,1,90,0,90,9,0,9
RAJASTHAN,2011,OPEN JAIL,23,629,0,629,543,14,557
RAJASTHAN,2011,SPECIAL JAIL,0,0,0,0,0,0,0
RAJASTHAN,2011,OTHERS,0,0,0,0,0,0,0
RAJASTHAN,2011,TOTAL,119,16951,1065,18016,17454,650,18104
RAJASTHAN,2012,CENTRAL JAIL,8,7907,106,8013,9500,130,9630
RAJASTHAN,2012,DISTRICT JAIL,25,3608,201,3809,5688,189,5877
RAJASTHAN,2012,SUB JAIL,60,3105,263,3368,2885,6,2891
RAJASTHAN,2012,WOMEN JAIL,2,0,469,469,0,358,358
RAJASTHAN,2012,BORSTAL SCHOOL,1,312,0,312,18,0,18
RAJASTHAN,2012,OPEN JAIL,23,628,1,629,565,12,577
RAJASTHAN,2012,SPECIAL JAIL,0,0,0,0,0,0,0
RAJASTHAN,2012,OTHERS,0,0,0,0,0,0,0
RAJASTHAN,2012,TOTAL,119,15560,1040,16600,18656,695,19351
SIKKIM,2001,CENTRAL JAIL,1,75,25,100,186,0,186
SIKKIM,2001,DISTRICT JAIL,0,0,0,0,0,0,0
SIKKIM,2001,SUB JAIL,0,0,0,0,0,0,0
SIKKIM,2001,WOMEN JAIL,0,0,0,0,0,0,0
SIKKIM,2001,BORSTAL SCHOOL,0,0,0,0,0,0,0
SIKKIM,2001,OPEN JAIL,0,0,0,0,0,0,0
SIKKIM,2001,SPECIAL JAIL,0,0,0,0,0,0,0
SIKKIM,2001,OTHERS,0,0,0,0,0,0,0
SIKKIM,2001,TOTAL,1,75,25,100,186,0,186
SIKKIM,2002,CENTRAL JAIL,1,75,25,100,170,2,172
SIKKIM,2002,DISTRICT JAIL,0,0,0,0,0,0,0
SIKKIM,2002,SUB JAIL,0,0,0,0,0,0,0
SIKKIM,2002,WOMEN JAIL,0,0,0,0,0,0,0
SIKKIM,2002,BORSTAL SCHOOL,0,0,0,0,0,0,0
SIKKIM,2002,OPEN JAIL,0,0,0,0,0,0,0
SIKKIM,2002,SPECIAL JAIL,0,0,0,0,0,0,0
SIKKIM,2002,OTHERS,0,0,0,0,0,0,0
SIKKIM,2002,TOTAL,1,75,25,100,170,2,172
SIKKIM,2003,CENTRAL JAIL,1,75,25,100,167,4,171
SIKKIM,2003,DISTRICT JAIL,0,0,0,0,0,0,0
SIKKIM,2003,SUB JAIL,0,0,0,0,0,0,0
SIKKIM,2003,WOMEN JAIL,0,0,0,0,0,0,0
SIKKIM,2003,BORSTAL SCHOOL,0,0,0,0,0,0,0
SIKKIM,2003,OPEN JAIL,0,0,0,0,0,0,0
SIKKIM,2003,SPECIAL JAIL,0,0,0,0,0,0,0
SIKKIM,2003,OTHERS,0,0,0,0,0,0,0
SIKKIM,2003,TOTAL,1,75,25,100,167,4,171
SIKKIM,2004,CENTRAL JAIL,1,75,25,100,160,2,162
SIKKIM,2004,DISTRICT JAIL,0,0,0,0,0,0,0
SIKKIM,2004,SUB JAIL,0,0,0,0,0,0,0
SIKKIM,2004,WOMEN JAIL,0,0,0,0,0,0,0
SIKKIM,2004,BORSTAL SCHOOL,0,0,0,0,0,0,0
SIKKIM,2004,OPEN JAIL,0,0,0,0,0,0,0
SIKKIM,2004,SPECIAL JAIL,0,0,0,0,0,0,0
SIKKIM,2004,OTHERS,0,0,0,0,0,0,0
SIKKIM,2004,TOTAL,1,75,25,100,160,2,162
SIKKIM,2005,CENTRAL JAIL,1,75,25,100,188,7,195
SIKKIM,2005,DISTRICT JAIL,0,0,0,0,0,0,0
SIKKIM,2005,SUB JAIL,0,0,0,0,0,0,0
SIKKIM,2005,WOMEN JAIL,0,0,0,0,0,0,0
SIKKIM,2005,BORSTAL SCHOOL,0,0,0,0,0,0,0
SIKKIM,2005,OPEN JAIL,0,0,0,0,0,0,0
SIKKIM,2005,SPECIAL JAIL,0,0,0,0,0,0,0
SIKKIM,2005,OTHERS,0,0,0,0,0,0,0
SIKKIM,2005,TOTAL,1,75,25,100,188,7,195
SIKKIM,2006,CENTRAL JAIL,1,100,21,121,222,3,225
SIKKIM,2006,DISTRICT JAIL,0,0,0,0,0,0,0
SIKKIM,2006,SUB JAIL,0,0,0,0,0,0,0
SIKKIM,2006,WOMEN JAIL,0,0,0,0,0,0,0
SIKKIM,2006,BORSTAL SCHOOL,0,0,0,0,0,0,0
SIKKIM,2006,OPEN JAIL,0,0,0,0,0,0,0
SIKKIM,2006,SPECIAL JAIL,0,0,0,0,0,0,0
SIKKIM,2006,OTHERS,0,0,0,0,0,0,0
SIKKIM,2006,TOTAL,1,100,21,121,222,3,225
SIKKIM,2007,CENTRAL JAIL,1,116,20,136,173,4,177
SIKKIM,2007,DISTRICT JAIL,1,41,19,60,49,0,49
SIKKIM,2007,SUB JAIL,0,0,0,0,0,0,0
SIKKIM,2007,WOMEN JAIL,0,0,0,0,0,0,0
SIKKIM,2007,BORSTAL SCHOOL,0,0,0,0,0,0,0
SIKKIM,2007,OPEN JAIL,0,0,0,0,0,0,0
SIKKIM,2007,SPECIAL JAIL,0,0,0,0,0,0,0
SIKKIM,2007,OTHERS,0,0,0,0,0,0,0
SIKKIM,2007,TOTAL,2,157,39,196,222,4,226
SIKKIM,2008,CENTRAL JAIL,1,119,20,139,172,8,180
SIKKIM,2008,DISTRICT JAIL,1,41,19,60,79,1,80
SIKKIM,2008,SUB JAIL,0,0,0,0,0,0,0
SIKKIM,2008,WOMEN JAIL,0,0,0,0,0,0,0
SIKKIM,2008,BORSTAL SCHOOL,0,0,0,0,0,0,0
SIKKIM,2008,OPEN JAIL,0,0,0,0,0,0,0
SIKKIM,2008,SPECIAL JAIL,0,0,0,0,0,0,0
SIKKIM,2008,OTHERS,0,0,0,0,0,0,0
SIKKIM,2008,TOTAL,2,160,39,199,251,9,260
SIKKIM,2009,CENTRAL JAIL,1,119,28,147,128,6,134
SIKKIM,2009,DISTRICT JAIL,1,41,19,60,58,1,59
SIKKIM,2009,SUB JAIL,0,0,0,0,0,0,0
SIKKIM,2009,WOMEN JAIL,0,0,0,0,0,0,0
SIKKIM,2009,BORSTAL SCHOOL,0,0,0,0,0,0,0
SIKKIM,2009,OPEN JAIL,0,0,0,0,0,0,0
SIKKIM,2009,SPECIAL JAIL,0,0,0,0,0,0,0
SIKKIM,2009,OTHERS,0,0,0,0,0,0,0
SIKKIM,2009,TOTAL,2,160,47,207,186,7,193
